CountryofLiving,fob_social,fob_stores,fob_curfew,sob_social,sob_stores,sob_curfew,perceivedreaction,govtrust,govfact,react_pub_appr,perceivedeffectivnes
New Zealand,Yes,Yes,Yes,50,50,1,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,92,70,70,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,95,89,90,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,95,95,11,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,74,52,53,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,No,100,80,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,No,97,98,99,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,95,96,95,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,53,38,30,The reaction is somewhat insufficient,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,No,92,60,20,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,87,86,49,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,92,75,83,The reaction is appropriate,Somewhat distrust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,96,94,96,The reaction is somewhat insufficient,Neither trust nor distrust,Very truthful,The reaction is not at all sufficient,Not effective
New Zealand,Yes,Yes,Yes,67,62,58,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,90,90,83,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,Yes,60,99,92,The reaction is somewhat insufficient,Neither trust nor distrust,Somewhat untruthful,The reaction is somewhat insufficient,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,82,100,79,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,92,93,93,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,81,61,70,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Not at all effective
New Zealand,Yes,Yes,Yes,91,92,87,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,99,99,99,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,93,94,94,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,80,76,75,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,90,80,65,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,81,81,82,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,90,75,75,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,No,46,35,20,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,90,80,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,70,70,70,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,80,90,60,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,88,78,88,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,No,63,50,47,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,83,50,50,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is not at all sufficient,Very effective
New Zealand,Yes,Yes,Yes,96,85,85,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,No,81,43,46,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,No,No,81,40,20,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,70,70,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat too extreme,Very effective
New Zealand,Yes,Yes,Yes,94,95,95,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,60,70,25,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,Yes,Yes,80,85,75,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,92,80,50,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,91,89,78,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,60,60,60,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,95,90,90,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,94,95,95,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,85,70,65,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,Yes,50,25,25,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,80,55,40,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,82,89,87,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,90,79,79,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,No,Yes,Yes,81,89,71,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,72,90,90,The reaction is somewhat insufficient,Somewhat distrust,Somewhat untruthful,The reaction is somewhat too extreme,Not at all effective
New Zealand,Yes,Yes,Yes,81,66,64,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,95,97,85,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,20,20,6,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,No,No,80,20,5,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,70,70,60,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,60,65,30,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,57,51,44,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,89,84,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,77,85,84,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,81,72,72,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,81,50,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,99,90,90,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,83,86,87,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,Yes,29,31,33,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,89,6,3,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Not effective
New Zealand,Yes,Yes,Yes,100,90,60,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,88,92,100,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,Yes,Yes,34,15,10,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,95,95,95,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,No,No,65,40,40,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,No,No,50,25,25,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,No,Yes,87,5,98,The reaction is not at all sufficient,Somewhat trust,Somewhat untruthful,The reaction is somewhat insufficient,Not effective
New Zealand,Yes,Yes,Yes,91,90,92,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,40,17,6,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,Yes,No,84,70,35,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,No,No,21,11,10,The reaction is somewhat insufficient,Somewhat trust,Somewhat untruthful,The reaction is much too extreme,Effective
New Zealand,Yes,Yes,Yes,70,70,60,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,95,90,70,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,80,80,65,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,16,7,3,The reaction is not at all sufficient,Somewhat trust,Somewhat untruthful,The reaction is not at all sufficient,Very effective
New Zealand,Yes,No,No,59,21,33,The reaction is somewhat insufficient,Neither trust nor distrust,Somewhat untruthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,82,76,60,The reaction is somewhat insufficient,Strongly trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,65,33,20,The reaction is somewhat insufficient,Strongly trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,50,68,30,The reaction is appropriate,Somewhat trust,Neither truthful nor untruthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,90,90,85,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,31,81,31,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,No,75,55,36,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,Yes,Yes,90,85,80,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,100,80,50,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,19,30,7,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,95,90,20,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,80,40,15,The reaction is somewhat insufficient,Strongly trust,Somewhat truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,62,57,40,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,No,52,53,12,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,71,83,84,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,61,50,11,The reaction is somewhat insufficient,Strongly trust,Very truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,Yes,Yes,78,70,70,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,60,62,64,The reaction is somewhat insufficient,Somewhat trust,Very untruthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,94,91,91,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,85,80,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,93,93,89,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
